tarih,toplamTest,toplamVaka,toplamVefat,hastalardaZaturreOrani,agirHasta,toplamIyilesenHasta,bugunkuVaka,bugunkuHasta,bugunkuTest,bugunkuVefat,bugunkuIyilesen
2020-03-11,,1,,,,,1,,,,
2020-03-12,,1,,,,,,,,,
2020-03-13,,5,,,,,4,,,,
2020-03-14,,6,,,,,1,,,,
2020-03-15,,18,,,,,12,,,,
2020-03-16,,47,,,,,29,,,,
2020-03-17,,98,1,,,,51,,,1,
2020-03-18,,191,2,,,,93,,,1,
2020-03-19,,359,4,,,,168,,,2,
2020-03-20,,670,9,,,,311,,,5,
2020-03-21,,947,21,,,,277,,,12,
2020-03-22,,1236,30,,,,289,,,9,
2020-03-23,,1529,37,,,,293,,,7,
2020-03-24,,1872,44,,,,343,,,7,
2020-03-25,,2433,59,,,,561,,,15,
2020-03-26,,3629,75,,,,1196,,,16,
2020-03-27,47823,5698,92,,,42,2069,2069,7533,17,
2020-03-28,55464,7402,108,,,70,1704,1704,7641,16,
2020-03-29,65446,9217,131,,,105,1815,1815,9982,23,
2020-03-30,76981,10827,168,,,162,1610,1610,11535,37,
2020-03-31,92403,13531,214,,,243,2704,2704,15422,46,
2020-04-01,106799,15679,277,,,333,2148,2148,14396,63,
2020-04-02,125556,18135,356,,,415,2456,2456,18757,79,
2020-04-03,141716,20921,425,,,484,2786,2786,16160,69,
2020-04-04,161380,23934,501,,,768,3013,3013,19664,76,302
2020-04-05,181445,27069,574,,,1042,3135,3135,20065,73,256
2020-04-06,202845,30217,649,,,1326,3148,3148,21400,75,284
2020-04-07,222868,34109,725,,,1582,3892,3892,20023,76,256
2020-04-08,247768,38226,812,,,1846,4117,4117,24900,87,264
2020-04-09,276346,42282,908,,,2142,4056,4056,28578,96,296
2020-04-10,307210,47029,1006,,,2423,4747,4747,30864,98,281
2020-04-11,340380,52167,1101,,,2965,5138,5138,33170,95,542
2020-04-12,376100,56956,1198,,,3446,4789,4789,35720,97,481
2020-04-13,410556,61049,1296,,,3957,4093,4093,34456,98,511
2020-04-14,443626,65111,1403,,,4799,4062,4062,33070,107,842
2020-04-15,477716,69392,1518,,,5674,4281,4281,34090,115,875
2020-04-16,518143,74193,1643,,,7089,4801,4801,40427,125,1415
2020-04-17,558413,78546,1769,,,8631,4353,4353,40270,126,1542
2020-04-18,598933,82329,1890,,,10453,3783,3783,40520,121,1822
2020-04-19,634277,86306,2017,,,11976,3977,3977,35344,127,1523
2020-04-20,673980,90980,2140,,,13430,4674,4674,39703,123,1454
2020-04-21,713409,95591,2259,,,14918,4611,4611,39429,119,1488
2020-04-22,750944,98674,2376,,,16477,3083,3083,37535,117,1559
2020-04-23,791906,101790,2491,,,18491,3116,3116,40962,115,2014
2020-04-24,830257,104912,2600,,,21737,3122,3122,38351,109,3246
2020-04-25,868565,107773,2706,,,25582,2861,2861,38308,106,3845
2020-04-26,898742,110130,2805,,,29140,2357,2357,30177,99,3558
2020-04-27,918885,112261,2900,,,33791,2131,2131,20143,95,4651
2020-04-28,948115,114653,2992,,,38809,2392,2392,29230,92,5018
2020-04-29,991613,117589,3081,,,44040,2936,2936,43498,89,5231
2020-04-30,1033617,120204,3174,,,48886,2615,2615,42004,93,4846
2020-05-01,1075048,122392,3258,,,53808,2188,2188,41431,84,4922
2020-05-02,1111366,124375,3336,,,58259,1983,1983,36318,78,4451
2020-05-03,1135367,126045,3397,,,63151,1670,1670,24001,61,4892
2020-05-04,1171138,127659,3461,,,68166,1614,1614,35771,64,5015
2020-05-05,1204421,129491,3520,,,73285,1832,1832,33283,59,5119
2020-05-06,1234724,131744,3584,,,78202,2253,2253,30303,64,4917
2020-05-07,1265119,133721,3641,,,82984,1977,1977,30395,57,4782
2020-05-08,1298806,135569,3689,,,86396,1848,1848,33687,48,3412
2020-05-09,1334411,137115,3739,,,89480,1546,1546,35605,50,3084
2020-05-10,1370598,138657,3786,,,92691,1542,1542,36187,47,3211
2020-05-11,1403320,139771,3841,,,95780,1114,1114,32722,55,3089
2020-05-12,1440671,141475,3894,,,98889,1704,1704,37351,53,3109
2020-05-13,1474003,143114,3952,,,101715,1639,1639,33332,58,2826
2020-05-14,1508824,144749,4007,,,104030,1635,1635,34821,55,2315
2020-05-15,1547389,146457,4055,,,106133,1708,1708,38565,48,2103
2020-05-16,1589625,148067,4096,,,108137,1610,1610,42236,41,2004
2020-05-17,1624994,149435,4140,,,109962,1368,1368,35369,44,1825
2020-05-18,1650135,150593,4171,,,111577,1158,1158,25141,31,1615
2020-05-19,1675517,151615,4199,,,112895,1022,1022,25382,28,1318
2020-05-20,1696355,152587,4222,,,113987,972,972,20838,23,1092
2020-05-21,1729988,153548,4249,,,114990,961,961,33633,27,1003
2020-05-22,1767495,154500,4276,,,116111,952,952,37507,27,1121
2020-05-23,1807673,155686,4308,,,117602,1186,1186,40178,32,1491
2020-05-24,1832262,156827,4340,,,118694,1141,1141,24589,32,1092
2020-05-25,1853754,157814,4369,,,120015,987,987,21492,29,1321
2020-05-26,1873607,158762,4397,,,121507,948,948,19853,28,1492
2020-05-27,1894650,159797,4431,,,122793,1035,1035,21043,34,1286
2020-05-28,1928209,160979,4461,,,124369,1182,1182,33559,30,1576
2020-05-29,1964364,162120,4489,,,125963,1141,1141,36155,28,1594
2020-05-30,2003594,163103,4515,,,126984,983,983,39230,26,1021
2020-05-31,2039194,163942,4540,,,127973,839,839,35600,25,989
2020-06-01,2070719,164769,4563,,,128947,827,827,31525,23,974
2020-06-02,2103044,165555,4585,,,129921,786,786,32325,22,974
2020-06-03,2155349,166422,4609,,,130852,867,867,52305,24,931
2020-06-04,2209583,167410,4630,,,131778,988,988,54234,21,926
2020-06-05,2267412,168340,4648,,,133400,930,930,57829,18,1622
2020-06-06,2303258,169218,4669,,,135322,878,878,35846,21,1922
2020-06-07,2338593,170132,4692,,,137969,914,914,35335,23,2647
2020-06-08,2377954,171121,4711,,,141380,989,989,39361,19,3411
2020-06-09,2415179,172114,4729,,,144598,993,993,37225,18,3218
2020-06-10,2451700,173036,4746,,,146839,922,922,36521,17,2241
2020-06-11,2500890,174023,4763,,,147860,987,987,49190,17,1021
2020-06-12,2541903,175218,4778,,,149102,1195,1195,41013,15,1242
2020-06-13,2586995,176677,4792,,,150087,1459,1459,45092,14,985
2020-06-14,2632171,178239,4807,,,151417,1562,1562,45176,15,1330
2020-06-15,2674203,179831,4825,,,152364,1592,1592,42032,18,947
2020-06-16,2721003,181298,4842,,,153379,1467,1467,46800,17,1015
2020-06-17,2773904,182727,4861,,,154640,1429,1429,52901,19,1261
2020-06-18,2822316,184031,4882,,,156022,1304,1304,48412,21,1382
2020-06-19,2863632,185245,4905,,,157516,1214,1214,41316,23,1494
2020-06-20,2904744,186493,4927,,,158828,1248,1248,41112,22,1312
2020-06-21,2945240,187685,4950,,,160240,1192,1192,40496,23,1412
2020-06-22,2986653,188897,4974,,,161533,1212,1212,41413,24,1293
2020-06-23,3029635,190165,5001,,,162848,1268,1268,42982,27,1315
2020-06-24,3083121,191657,5025,,,164234,1492,1492,53486,24,1386
2020-06-25,3135424,193115,5046,,,165706,1458,1458,52303,21,1472
2020-06-26,3186622,194511,5065,,,167198,1396,1396,51198,19,1492
2020-06-27,3231835,195883,5082,,,169182,1372,1372,45213,17,1984
2020-06-28,3280144,197239,5097,,,170595,1356,1356,48309,15,1413
2020-06-29,3331158,198613,5115,,,171809,1374,1374,51014,18,1214
2020-06-30,3381650,199906,5131,,,173111,1293,1293,50492,16,1302
2020-07-01,3433963,201098,5150,,,175422,1192,1192,52313,19,2311
2020-07-02,3483677,202284,5167,,,176965,1186,1186,49714,17,1543
2020-07-03,3535818,203456,5186,,,178278,1172,1172,52141,19,1313
2020-07-04,3584066,204610,5206,,,179492,1154,1154,48248,20,1214
2020-07-05,3630480,205758,5225,,,180680,1148,1148,46414,19,1188
2020-07-06,3682673,206844,5241,,,182995,1086,1086,52193,16,2315
2020-07-07,3733218,207897,5260,,,185292,1053,1053,50545,19,2297
2020-07-08,3782520,208938,5282,,,187511,1041,1041,49302,22,2219
2020-07-09,3832623,209962,5300,,,190390,1024,1024,50103,18,2879
2020-07-10,3881410,210965,5323,,,191883,1003,1003,48787,23,1493
2020-07-11,3930223,211981,5344,,,193217,1016,1016,48813,21,1334
2020-07-12,3975455,212993,5363,,,194515,1012,1012,45232,19,1298
2020-07-13,4021947,214001,5382,,,195671,1008,1008,46492,19,1156
2020-07-14,4065178,214993,5402,,,196720,992,992,43231,20,1049
2020-07-15,4107498,215940,5419,,,197733,947,947,42320,17,1013
2020-07-16,4149909,216873,5440,,,198820,933,933,42411,21,1087
2020-07-17,4191124,217799,5458,,,199834,926,926,41215,18,1014
2020-07-18,4232067,218717,5475,,,201013,918,918,40943,17,1179
2020-07-19,4273377,219641,5491,,,202010,924,924,41310,16,997
2020-07-20,4316781,220572,5508,,,203002,931,931,43404,17,992
2020-07-21,4359627,221500,5526,,,204011,928,928,42846,18,1009
2020-07-22,4403031,222402,5545,,,205214,902,902,43404,19,1203
2020-07-23,4446374,223315,5563,,,206365,913,913,43343,18,1151
2020-07-24,4489360,224252,5580,,,207374,937,937,42986,17,1009
2020-07-25,4532672,225173,5596,,,208477,921,921,43312,16,1103
2020-07-26,4572688,226100,5613,,,209487,927,927,40016,17,1010
2020-07-27,4617971,227019,5630,,,210469,919,919,45283,17,982
2020-07-28,4665383,227982,5645,,,211561,963,963,47412,15,1092
2020-07-29,4711095,228924,5659,9.4,542.0,212557,942,942,45712,14,996
2020-07-30,4754331,229891,5674,9.3,561.0,213539,967,967,43236,15,982
2020-07-31,4800823,230873,5691,8.8,582.0,214535,982,982,46492,17,996
2020-08-01,4845669,231869,5710,8.7,586.0,215516,996,996,44846,19,981
2020-08-02,4885916,232856,5728,8.5,582.0,216494,987,987,40247,18,978
2020-08-03,4927217,233851,5747,8.4,580.0,217497,995,995,41301,19,1003
2020-08-04,4973466,234934,5765,8.5,583.0,218491,1083,1083,46249,18,994
2020-08-05,5027308,236112,5784,8.4,582.0,219506,1178,1178,53842,19,1015
2020-08-06,5081802,237265,5798,8.3,580.0,220546,1153,1153,54494,14,1040
2020-08-07,5138528,238450,5813,8.3,586.0,221574,1185,1185,56726,15,1028
2020-08-08,5202370,239622,5829,8.1,587.0,222656,1172,1172,63842,16,1082
2020-08-09,5263816,240804,5844,8.1,596.0,223759,1182,1182,61446,15,1103
2020-08-10,5326035,241997,5858,8.2,603.0,224970,1193,1193,62219,14,1211
2020-08-11,5387751,243180,5873,8.2,617.0,226155,1183,1183,61716,15,1185
2020-08-12,5454988,244392,5891,8.2,632.0,227089,1212,1212,67237,18,934
2020-08-13,5521880,245635,5912,7.9,647.0,228057,1243,1243,66892,21,968
2020-08-14,5592072,246861,5934,7.8,656.0,228980,1226,1226,70192,22,923
2020-08-15,5659286,248117,5955,7.6,668.0,229972,1256,1256,67214,21,992
2020-08-16,5725242,249309,5974,7.6,679.0,230969,1192,1192,65956,19,997
2020-08-17,5800088,250542,5996,7.5,686.0,231971,1233,1233,74846,22,1002
2020-08-18,5882406,251805,6016,7.5,703.0,232913,1263,1263,82318,20,942
2020-08-19,5969629,253108,6039,7.4,719.0,233915,1303,1303,87223,23,1002
2020-08-20,6061930,254520,6058,7.3,735.0,234797,1412,1412,92301,19,882
2020-08-21,6154157,255723,6080,7.3,749.0,235569,1203,1203,92227,22,772
2020-08-22,6247164,257032,6102,7.4,762.0,236370,1309,1309,93007,22,801
2020-08-23,6327466,258249,6121,7.5,783.0,237165,1217,1217,80302,19,795
2020-08-24,6423409,259692,6139,7.4,796.0,237908,1443,1443,95943,18,743
2020-08-25,6521640,261194,6163,7.4,811.0,238795,1502,1502,98231,24,887
2020-08-26,6621749,262507,6183,7.4,841.0,239797,1313,1313,100109,20,1002
2020-08-27,6727860,263998,6209,7.3,862.0,240792,1491,1491,106111,26,995
2020-08-28,6835674,265515,6245,7.4,896.0,241809,1517,1517,107814,36,1017
2020-08-29,6937088,267064,6284,7.4,917.0,242812,1549,1549,101414,39,1003
2020-08-30,7028390,268546,6326,7.5,945.0,243839,1482,1482,91302,42,1027
2020-08-31,7138492,270133,6370,7.5,961.0,244926,1587,1587,110102,44,1087
2020-09-01,7247935,271705,6417,7.6,991.0,245929,1572,1572,109443,47,1003
2020-09-02,7355862,273301,6462,7.6,1170.0,246876,1596,1596,107927,45,947
2020-09-03,7466087,274943,6511,7.6,1410.0,248087,1642,1642,110225,49,1211
2020-09-04,7583200,276555,6564,7.5,1075.0,249108,1612,1612,117113,53,1021
2020-09-05,7682697,278228,6620,7.5,1091.0,250092,1673,1673,99497,56,984
2020-09-06,7779539,279806,6673,7.6,1102.0,251105,1578,1578,96842,53,1013
2020-09-07,7883464,281509,6730,7.6,1118.0,252152,1703,1703,103925,57,1047
2020-09-08,7994029,283270,6782,7.5,1159.0,253245,1761,1761,110565,52,1093
2020-09-09,8105222,284943,6837,7.4,1181.0,254188,1673,1673,111193,55,943
2020-09-10,8212924,286455,6895,7.3,1209.0,255407,1512,1512,107702,58,1219
2020-09-11,8325137,288126,6951,7.3,1223.0,256524,1671,1671,112213,56,1117
2020-09-12,8423463,289635,6999,7.2,1241.0,257731,1509,1509,98326,48,1207
2020-09-13,8519560,291162,7056,7.2,1267.0,258833,1527,1527,96097,57,1102
2020-09-14,8632123,292878,7119,7.1,1301.0,260058,1716,1716,112563,63,1225
2020-09-15,8742535,294620,7186,7.1,1327.0,261260,1742,1742,110412,67,1202
2020-09-16,8855180,296391,7249,7.1,1351.0,262602,1771,1771,112645,63,1342
2020-09-17,8965165,298039,7315,7.1,1372.0,263745,1648,1648,109985,66,1143
2020-09-18,9076278,299810,7377,7.1,1402.0,264805,1771,1771,111113,62,1060
2020-09-19,9173694,301348,7445,7.0,1432.0,266117,1538,1538,97416,68,1312
2020-09-20,9269015,302867,7506,7.0,1456.0,267233,1519,1519,95321,61,1116
2020-09-21,9381957,304610,7574,6.8,1491.0,268435,1743,1743,112942,68,1202
2020-09-22,9496268,306302,7639,6.7,1521.0,269696,1692,1692,114311,65,1261
2020-09-23,9608370,308069,7711,6.7,1561.0,270723,1767,1767,112102,72,1027
2020-09-24,9721687,309790,7785,6.6,1573.0,271964,1721,1721,113317,74,1241
2020-09-25,9834572,311455,7858,6.6,1601.0,273282,1665,1665,112885,73,1318
2020-09-26,9936581,312966,7929,6.6,1615.0,274514,1511,1511,102009,71,1232
2020-09-27,10037700,314433,7997,6.5,1583.0,275630,1467,1467,101119,68,1116
2020-09-28,10153223,315845,8062,6.5,1596.0,277052,1412,1412,115523,65,1422
2020-09-29,10268163,317272,8130,6.5,1583.0,278504,1427,1427,114940,68,1452
2020-09-30,10380261,318663,8195,6.4,1516.0,279749,1391,1391,112098,65,1245
2020-10-01,10493807,320070,8262,6.4,1507.0,281151,1407,1407,113546,67,1402
2020-10-02,10608664,321512,8325,6.4,1455.0,282657,1442,1442,114857,63,1506
2020-10-03,10711883,323014,8384,6.4,1470.0,283868,1502,1502,103219,59,1211
2020-10-04,10816285,324443,8441,6.4,1475.0,285050,1429,1429,104402,57,1182
2020-10-05,10931917,326046,8498,6.2,1412.0,286370,1603,1603,115632,57,1320
2020-10-06,11044338,327557,8553,6.2,1414.0,287599,1511,1511,112421,55,1229
2020-10-07,11160946,329138,8609,6.2,1411.0,288954,1581,1581,116608,56,1355
2020-10-08,11278047,330753,8667,6.2,1403.0,290352,1615,1615,117101,58,1398
2020-10-09,11393342,332382,8722,6.2,1398.0,291754,1629,1629,115295,55,1402
2020-10-10,11506444,334031,8778,6.2,1414.0,293145,1649,1649,113102,56,1391
2020-10-11,11615745,335533,8837,6.2,1411.0,294357,1502,1502,109301,59,1212
2020-10-12,11731350,337147,8895,5.9,1416.0,295658,1614,1614,115605,58,1301
2020-10-13,11846342,338779,8957,5.9,1416.0,296972,1632,1632,114992,62,1314
2020-10-14,11961670,340450,9014,5.9,1418.0,298368,1671,1671,115328,57,1396
2020-10-15,12077773,342143,9080,5.9,1408.0,299679,1693,1693,116103,66,1311
2020-10-16,12194778,343955,9153,5.9,1445.0,301098,1812,1812,117005,73,1419
2020-10-17,12306909,345678,9224,5.9,1428.0,302499,1723,1723,112131,71,1401
2020-10-18,12408312,347493,9296,5.9,1426.0,304003,1815,1815,101403,72,1504
2020-10-19,12524561,349519,9371,5.6,1446.0,305427,2026,2026,116249,75,1424
2020-10-20,12641126,351413,9445,5.6,1545.0,306939,1894,1894,116565,74,1512
2020-10-21,12759069,353426,9513,5.6,1504.0,308446,2013,2013,117943,68,1507
2020-10-22,12876267,355528,9584,5.6,1599.0,310027,2102,2102,117198,71,1581
2020-10-23,12992246,357693,9658,5.6,1648.0,311520,2165,2165,115979,74,1493
2020-10-24,13105673,359784,9727,5.6,1699.0,313093,2091,2091,113427,69,1573
2020-10-25,13217888,361801,9799,5.6,1744.0,314390,2017,2017,112215,72,1297
2020-10-26,13350801,363999,9874,5.0,1780.0,316008,2198,2198,132913,75,1618
2020-10-27,13478452,366208,9950,5.0,1827.0,317519,2209,2209,127651,76,1511
2020-10-28,13606764,368513,10027,5.0,1836.0,319181,2305,2305,128312,77,1662
2020-10-29,13741180,370832,10099,5.0,1916.0,320762,2319,2319,134416,72,1581
2020-10-30,13877705,373154,10177,5.0,1966.0,322465,2322,2322,136525,78,1703
2020-10-31,14001814,375367,10252,5.0,2075.0,323971,2213,2213,124109,75,1506
2020-11-01,14125157,377473,10326,5.0,2177.0,325486,2106,2106,123343,74,1515
2020-11-02,14264260,379775,10402,4.7,2341.0,327007,2302,2302,139103,76,1521
2020-11-03,14410507,382118,10481,4.7,2386.0,328824,2343,2343,146247,79,1817
2020-11-04,14554923,384509,10558,4.7,2464.0,330665,2391,2391,144416,77,1841
2020-11-05,14700951,386820,10639,4.7,2564.0,332379,2311,2311,146028,81,1714
2020-11-06,14846192,389256,10722,4.7,2654.0,334293,2436,2436,145241,83,1914
2020-11-07,14985867,391739,10803,4.7,2730.0,336221,2483,2483,139675,81,1928
2020-11-08,15127811,394255,10887,4.7,2740.0,338239,2516,2516,141944,84,2018
2020-11-09,15273222,396831,10972,4.2,2867.0,340286,2576,2576,145411,85,2047
2020-11-10,15419420,399360,11059,4.2,3001.0,342501,2529,2529,146198,87,2215
2020-11-11,15565409,402053,11145,4.2,3095.0,344613,2693,2693,145989,86,2112
2020-11-12,15713891,404894,11233,4.2,3230.0,346794,2841,2841,148482,88,2181
2020-11-13,15863833,407939,11326,4.2,3356.0,348804,3045,3045,149942,93,2010
2020-11-14,16013974,411055,11418,4.2,3423.0,351102,3116,3116,150141,92,2298
2020-11-15,16156470,414278,11507,4.2,3439.0,353663,3223,3223,142496,89,2561
2020-11-16,16307986,417594,11601,3.8,3610.0,356375,3316,3316,151516,94,2712
2020-11-17,16464678,421413,11704,3.8,3657.0,359063,3819,3819,156692,103,2688
2020-11-18,16623489,425628,11820,3.8,3742.0,361655,4215,4215,158811,116,2592
2020-11-19,16781245,430170,11943,3.8,3850.0,364573,4542,4542,157756,123,2918
2020-11-20,16937887,435273,12084,3.8,3990.0,367592,5103,5103,156642,141,3019
2020-11-21,17090101,440805,12219,3.8,4121.0,370825,5532,5532,152214,135,3233
2020-11-22,17245617,446822,12358,3.8,4217.0,374637,6017,6017,155516,139,3812
2020-11-23,17406742,453535,12511,3.4,4409.0,377891,6713,6713,161125,153,3254
2020-11-24,17568973,460916,12672,3.4,4543.0,381569,7381,7381,162231,161,3678
2020-11-25,17733520,467730,12840,3.4,4641.0,385480,6814,6814,164547,168,3911
2020-11-26,17901868,474606,13014,3.4,4711.0,388771,6876,6876,168348,174,3291
