tarih,toplamTest,toplamVaka,toplamVefat,hastalardaZaturreOrani,agirHasta,toplamIyilesenHasta,bugunkuVaka,bugunkuHasta,bugunkuTest,bugunkuVefat,bugunkuIyilesen
2020-11-27,18072981,481198,13191,3.4,4816.0,392616,6592,6592,171113,177,3845
2020-11-28,18247424,487912,13373,3.4,4903.0,396227,6714,6714,174443,182,3611
2020-11-29,18415636,494351,13558,3.4,5011.0,400242,6439,6439,168212,185,4015
2020-11-30,18592292,500865,13746,3.4,5190.0,404727,6514,6514,176656,188,4485
2020-12-01,18772604,506966,13936,3.3,5303.0,409320,6101,6101,180312,190,4593
2020-12-02,18956228,513656,14129,3.3,5502.0,414141,6690,6690,183624,193,4821
2020-12-03,19143746,520167,14316,3.3,5611.0,418331,6511,6511,187518,187,4190
2020-12-04,19338181,527070,14509,3.3,5702.0,423142,6903,6903,194435,193,4811
2020-12-05,19517084,533198,14705,3.3,5800.0,427242,6128,6128,178903,196,4100
2020-12-06,19691845,539291,14900,3.3,5805.0,431253,6093,6093,174761,195,4011
2020-12-07,19888747,545711,15103,3.1,5836.0,436270,6420,6420,196902,203,5017
2020-12-08,20089966,552304,15314,3.1,5882.0,441515,6593,6593,201219,211,5245
2020-12-09,20294377,558517,15531,3.1,5901.0,447361,6213,6213,204411,217,5846
2020-12-10,20500579,1748567,15751,3.1,5943.0,452593,30424,5918,206202,220,5232
2020-12-11,20709452,1780673,15977,3.1,5952.0,458109,32106,5607,208873,226,5516
2020-12-12,20898517,1809809,16199,3.1,5961.0,1581565,29136,5203,189065,222,20191
2020-12-13,21079716,1836728,16417,3.1,5973.0,1603780,26919,5103,181199,218,22215
2020-12-14,21284005,1866345,16646,2.9,5980.0,1631944,29617,5064,204289,229,28164
2020-12-15,21490195,1898447,16881,2.9,5988.0,1661191,32102,5105,206190,235,29247
2020-12-16,21695592,1928165,17121,2.9,5960.0,1691113,29718,4893,205397,240,29922
2020-12-17,21901694,1955680,17364,2.9,5803.0,1721607,27515,4209,206102,243,30494
2020-12-18,22107503,1982090,17610,2.9,5707.0,1753552,26410,4103,205809,246,31945
2020-12-19,22280635,2004285,17851,2.9,5501.0,1779068,22195,4002,173132,241,25516
2020-12-20,22439527,2024601,18097,2.9,5347.0,1800286,20316,3546,158892,246,21218
2020-12-21,22635637,2043704,18351,4.1,5192.0,1834705,19103,3412,196110,254,34419
2020-12-22,22827953,2062960,18602,4.1,5008.0,1866815,19256,3309,192316,251,32110
2020-12-23,23030162,2082610,18861,4.1,4901.0,1901307,19650,3192,202209,259,34492
2020-12-24,23225837,2100712,19115,4.1,4805.0,1935292,18102,3218,195675,254,33985
2020-12-25,23426941,2118255,19371,4.1,4702.0,1970803,17543,3199,201104,256,35511
2020-12-26,23605813,2133373,19624,4.1,4501.0,1994034,15118,3002,178872,253,23231
2020-12-27,23777926,2147578,19878,4.1,4309.0,2015230,14205,2806,172113,254,21196
2020-12-28,23958818,2162775,20135,3.8,4251.0,2037433,15197,2816,180892,257,22203
2020-12-29,24141935,2178580,20388,3.8,4191.0,2058437,15805,2783,183117,253,21004
2020-12-30,24326350,2194272,20642,3.8,4098.0,2078629,15692,2612,184415,254,20192
2020-12-31,24504567,2208652,20881,3.8,3918.0,2100650,14380,2219,178217,239,22021
2021-01-01,24662670,2220855,21093,3.8,3891.0,2114760,12203,1908,158103,212,14110
2021-01-02,24811888,2232035,21295,3.8,3764.0,2126432,11180,1713,149218,202,11672
2021-01-03,24950829,2241912,21488,3.8,3612.0,2136534,9877,1515,138941,193,10102
2021-01-04,25132152,2255607,21685,4.3,3522.0,2146430,13695,1508,181323,197,9896
2021-01-05,25315565,2270101,21879,4.3,3410.0,2155338,14494,1477,183413,194,8908
2021-01-06,25498210,2283931,22070,4.3,3303.0,2164040,13830,1458,182645,191,8702
2021-01-07,25681213,2296102,22264,4.3,3201.0,2172251,12171,1370,183003,194,8211
2021-01-08,25865406,2307581,22450,4.3,3094.0,2182145,11479,1291,184193,186,9894
2021-01-09,26033695,2317118,22631,4.3,2903.0,2190047,9537,1103,168289,181,7902
2021-01-10,26196481,2326256,22807,4.3,2811.0,2198150,9138,1017,162786,176,8103
2021-01-11,26376784,2336476,22981,4.5,2783.0,2208451,10220,1003,180303,174,10301
2021-01-12,26555992,2346285,23152,4.5,2701.0,2218464,9809,983,179208,171,10013
2021-01-13,26729595,2355839,23325,4.5,2652.0,2227927,9554,971,173603,173,9463
2021-01-14,26899442,2364801,23495,4.5,2512.0,2236938,8962,958,169847,170,9011
2021-01-15,27066653,2373115,23664,4.5,2311.0,2246047,8314,921,167211,169,9109
2021-01-16,27223445,2380665,23832,4.5,2265.0,2254052,7550,902,156792,168,8005
2021-01-17,27372081,2387101,23997,4.5,2201.0,2262864,6436,803,148636,165,8812
2021-01-18,27523423,2392963,24161,5.1,2183.0,2270769,5862,749,151342,164,7905
2021-01-19,27698556,2399781,24328,5.1,2162.0,2277987,6818,761,175133,167,7218
2021-01-20,27867450,2406216,24487,5.1,2102.0,2283919,6435,752,168894,159,5932
2021-01-21,28032559,2412505,24640,5.1,2074.0,2290032,6289,743,165109,153,6113
2021-01-22,28195901,2418472,24789,5.1,2003.0,2296050,5967,734,163342,149,6018
2021-01-23,28348659,2424328,24933,5.1,1962.0,2301861,5856,723,152758,144,5811
2021-01-24,28497084,2429605,25073,5.1,1905.0,2307721,5277,684,148425,140,5860
2021-01-25,28648193,2435247,25210,4.7,1808.0,2314403,5642,671,151109,137,6682
2021-01-26,28828496,2442350,25344,4.7,1791.0,2322511,7103,681,180303,134,8108
2021-01-27,29007915,2449839,25476,4.7,1765.0,2331314,7489,675,179419,132,8803
2021-01-28,29181125,2457118,25605,4.7,1751.0,2340216,7279,670,173210,129,8902
2021-01-29,29346219,2464030,25736,4.7,1740.0,2348309,6912,664,165094,131,8093
2021-01-30,29495004,2470901,25865,4.7,1692.0,2355409,6871,658,148785,129,7100
2021-01-31,29631422,2477463,25993,4.7,1634.0,2362415,6562,641,136418,128,7006
2021-02-01,29773125,2485182,26117,4.9,1615.0,2370431,7719,636,141703,124,8016
2021-02-02,29913245,2492977,26237,4.9,1592.0,2379070,7795,630,140120,120,8639
2021-02-03,30061437,2501079,26354,4.9,1523.0,2387384,8102,632,148192,117,8314
2021-02-04,30206504,2508988,26467,4.9,1501.0,2396199,7909,627,145067,113,8815
2021-02-05,30349042,2516889,26577,4.9,1423.0,2404416,7901,620,142538,110,8217
2021-02-06,30486691,2524786,26685,4.9,1337.0,2412505,7897,618,137649,108,8089
2021-02-07,30616406,2531456,26797,4.9,1317.0,2420706,6670,623,129715,112,8201
2021-02-08,30755784,2539559,26900,3.7,1310.0,2429273,8103,632,139378,103,8567
2021-02-09,30893496,2548195,26998,3.7,1310.0,2437382,8636,659,137712,98,8109
2021-02-10,31029363,2556837,27093,3.7,1308.0,2445285,8642,664,135867,95,7903
2021-02-11,31159676,2564427,27187,3.7,1256.0,2453096,7590,660,130313,94,7811
2021-02-12,31289306,2572190,27284,3.7,1250.0,2461204,7763,667,129630,97,8108
2021-02-13,31412611,2579896,27377,3.7,1235.0,2468419,7706,671,123305,93,7215
2021-02-14,31516719,2586183,27471,3.7,1230.0,2475329,6287,666,104108,94,6910
2021-02-15,31633171,2594128,27562,3.6,1232.0,2482435,7945,660,116452,91,7106
2021-02-16,31748965,2602034,27652,3.6,1200.0,2489624,7906,658,115794,90,7189
2021-02-17,31866086,2609359,27738,3.6,1193.0,2496833,7325,649,117121,86,7209
2021-02-18,31981492,2616600,27821,3.6,1187.0,2504050,7241,640,115406,83,7217
2021-02-19,32098166,2624019,27903,3.6,1185.0,2511548,7419,638,116674,82,7498
2021-02-20,32217077,2631876,27983,3.6,1180.0,2518758,7857,635,118911,80,7210
2021-02-21,32318182,2638422,28060,3.6,1185.0,2523760,6546,601,101105,77,5002
2021-02-22,32436998,2646526,28138,4.2,1189.0,2529450,8104,623,118816,78,5690
2021-02-23,32560732,2655633,28213,4.2,1185.0,2534996,9107,633,123734,75,5546
2021-02-24,32684747,2665194,28285,4.2,1200.0,2540293,9561,660,124015,72,5297
2021-02-25,32811274,2674766,28358,4.2,1192.0,2546503,9572,658,126527,73,6210
2021-02-26,32939661,2683971,28432,4.2,1195.0,2556785,9205,649,128387,74,10282
2021-02-27,33065377,2693164,28503,4.2,1187.0,2565723,9193,621,125716,71,8938
2021-02-28,33175016,2701588,28569,4.2,1190.0,2572234,8424,610,109639,66,6511
2021-03-01,33305552,2711479,28638,3.6,1215.0,2578181,9891,645,130536,69,5947
2021-03-02,33440843,2723316,28706,3.6,1227.0,2586073,11837,668,135291,68,7892
2021-03-03,33578861,2734836,28771,3.6,1224.0,2593264,11520,689,138018,65,7191
2021-03-04,33716746,2746158,28839,3.6,1220.0,2601137,11322,685,137885,68,7873
2021-03-05,33854960,2757460,28901,3.6,1232.0,2608848,11302,698,138214,62,7711
2021-03-06,33993552,2769230,28965,3.6,1230.0,2616139,11770,702,138592,64,7291
2021-03-07,34122851,2780417,29030,3.6,1261.0,2623924,11187,735,129299,65,7785
2021-03-08,34262280,2793632,29094,3.8,1239.0,2632030,13215,767,139429,64,8106
2021-03-09,34403108,2807387,29160,3.8,1289.0,2640669,13755,801,140828,66,8639
2021-03-10,34548238,2821943,29227,3.8,1309.0,2649862,14556,814,145130,67,9193
2021-03-11,34694624,2835989,29290,3.8,1310.0,2659093,14046,821,146386,63,9231
2021-03-12,34843480,2850930,29356,3.8,1349.0,2670273,14941,834,148856,66,11180
2021-03-13,34993578,2866012,29421,3.8,1350.0,2685560,15082,841,150098,65,15287
2021-03-14,35126003,2879390,29489,3.8,1392.0,2701076,13378,852,132425,68,15516
2021-03-15,35277116,2894893,29552,3.2,1425.0,2716969,15503,858,151113,63,15893
2021-03-16,35435502,2911642,29623,3.2,1474.0,2734862,16749,874,158386,71,17893
2021-03-17,35603028,2930554,29696,3.2,1484.0,2752023,18912,869,167526,73,17161
2021-03-18,35787480,2950603,29777,3.2,1503.0,2770638,20049,902,184452,81,18615
2021-03-19,35975339,2971633,29864,3.2,1547.0,2788757,21030,934,187859,87,18119
2021-03-20,36165468,2992694,29959,3.2,1538.0,2807572,21061,958,190129,95,18815
2021-03-21,36355374,3013122,30061,3.2,1568.0,2825187,20428,965,189906,102,17615
2021-03-22,36556589,3035338,30178,4.2,1644.0,2844681,22216,981,201215,117,19494
2021-03-23,36768437,3061520,30316,4.2,1710.0,2863882,26182,1006,211848,138,19201
2021-03-24,36990175,3091282,30462,4.2,1720.0,2881643,29762,1142,221738,146,17761
2021-03-25,37212928,3120013,30619,4.2,1790.0,2900829,28731,1210,222753,157,19186
2021-03-26,37433913,3149094,30772,4.2,1810.0,2921037,29081,1253,220985,153,20208
2021-03-27,37657127,3179115,30923,4.2,1886.0,2939929,30021,1281,223214,151,18892
2021-03-28,37877236,3208173,31076,4.2,1968.0,2957093,29058,1305,220109,153,17164
2021-03-29,38102747,3240577,31230,3.6,1998.0,2975108,32404,1325,225511,154,18015
2021-03-30,38338045,3277880,31385,3.6,2054.0,2995033,37303,1376,235298,155,19925
2021-03-31,38578057,3317182,31537,3.6,2082.0,3014226,39302,1401,240012,152,19193
2021-04-01,38821795,3357988,31713,3.6,2135.0,3035043,40806,1424,243738,176,20817
2021-04-02,39070763,3400296,31892,3.6,2182.0,3059462,42308,1471,248968,179,24419
2021-04-03,39319889,3445052,32078,3.6,2231.0,3082676,44756,1483,249126,186,23214
2021-04-04,39566099,3487050,32263,3.6,2311.0,3105350,41998,1508,246210,185,22674
2021-04-05,39811595,3529601,32456,3.1,2407.0,3130977,42551,1706,245496,193,25627
2021-04-06,40083142,3579185,32667,3.1,2477.0,3159475,49584,2003,271547,211,28498
2021-04-07,40385250,3633925,32943,3.1,2604.0,3194978,54740,2203,302108,276,35503
2021-04-08,40689742,3689866,33201,3.1,2615.0,3232892,55941,2316,304492,258,37914
2021-04-09,40994845,3745657,33454,3.1,2658.0,3268678,55791,2408,305103,253,35786
2021-04-10,41297580,3798333,33702,3.1,2739.0,3301217,52676,2497,302735,248,32539
2021-04-11,41591854,3849011,33939,3.1,2824.0,3331411,50678,2548,294274,237,30194
2021-04-12,41892922,3903573,34182,3.3,2891.0,3372629,54562,2671,301068,243,41218
2021-04-13,42199485,3962760,34455,3.3,2951.0,3424733,59187,2723,306563,273,52104
2021-04-14,42509905,4025557,34734,3.3,3018.0,3480146,62797,2802,310420,279,55413
2021-04-15,42828122,4086957,35031,3.3,3080.0,3535040,61400,2845,318217,297,54894
2021-04-16,43148200,4150039,35320,3.3,3205.0,3591550,63082,2915,320078,289,56510
2021-04-17,43467516,4212645,35608,3.3,3240.0,3643734,62606,2973,319316,288,52184
2021-04-18,43768759,4268447,35926,3.3,3275.0,3687590,55802,3101,301243,318,43856
2021-04-19,44087628,4323596,36267,2.9,3319.0,3736537,55149,2862,318869,341,48947
2021-04-20,44409756,4384624,36613,2.9,3375.0,3792129,61028,2895,322128,346,55592
2021-04-21,44728595,4446591,36975,2.9,3398.0,3844342,61967,2932,318839,362,52213
2021-04-22,45040704,4501382,37329,2.9,3463.0,3909935,54791,3128,312109,354,65593
2021-04-23,45342795,4550820,37672,2.9,3475.0,3970111,49438,3089,302091,343,60176
2021-04-24,45623978,4591416,38011,2.9,3511.0,4022408,40596,2905,281183,339,52297
2021-04-25,45884258,4629969,38358,2.9,3590.0,4073644,38553,2801,260280,347,51236
2021-04-26,46153151,4667281,38711,2.4,3563.0,4121671,37312,2716,268893,353,48027
2021-04-27,46435343,4710582,39057,2.4,3549.0,4167263,43301,2703,282192,346,45592
2021-04-28,46718604,4751026,39398,2.4,3558.0,4212461,40444,2728,283261,341,45198
2021-04-29,46996712,4788700,39737,2.4,3581.0,4255714,37674,2715,278108,339,43253
2021-04-30,47261999,4820591,40131,2.4,3534.0,4323897,31891,2673,265287,394,68183
2021-05-01,47504193,4849408,40504,2.4,3525.0,4405199,28817,2615,242194,373,81302
2021-05-02,47744338,4875388,40844,2.4,3532.0,4480381,25980,2587,240145,340,75182
2021-05-03,47987986,4900121,41191,3.2,3438.0,4515819,24733,2501,243648,347,35438
2021-05-04,48229733,4929118,41527,3.2,3452.0,4554037,28997,2483,241747,336,38218
2021-05-05,48459224,4955594,41883,3.2,3418.0,4589501,26476,2414,229491,356,35464
2021-05-06,48712606,4977982,42187,3.2,3378.0,4626799,22388,2401,253382,304,37298
2021-05-07,48963800,4998089,42465,3.2,3260.0,4662328,20107,2210,251194,278,35529
2021-05-08,49192673,5016141,42746,3.2,3175.0,4691224,18052,2178,228873,281,28896
2021-05-09,49390141,5031332,43029,3.2,3081.0,4716918,15191,2102,197468,283,25694
2021-05-10,49604004,5044936,43311,4.0,2983.0,4743871,13604,1734,213863,282,26953
2021-05-11,49830456,5059433,43589,4.0,2975.0,4766124,14497,1582,226452,278,22253
2021-05-12,50058648,5072462,43821,4.0,2827.0,4801291,13029,1496,228192,232,35167
2021-05-13,50259943,5083996,44059,4.0,2765.0,4856763,11534,1217,201295,238,55472
2021-05-14,50463016,5095390,44301,4.0,2670.0,4894024,11394,1102,203073,242,37261
2021-05-15,50667653,5106862,44537,4.0,2563.0,4932838,11472,1084,204637,236,38814
2021-05-16,50869896,5117374,44760,4.0,2468.0,4947256,10512,920,202243,223,14418
2021-05-17,51076732,5127548,44983,3.2,2326.0,4961120,10174,923,206836,223,13864
2021-05-18,51294008,5139485,45186,3.2,2232.0,4971245,11937,916,217276,203,10125
2021-05-19,51512691,5151038,45419,3.2,2162.0,4980516,11553,902,218683,233,9271
2021-05-20,51731883,5160423,45626,3.2,2041.0,4989787,9385,856,219192,207,9271
2021-05-21,51950729,5169951,45840,3.2,1977.0,4998639,9528,846,218846,214,8852
2021-05-22,52167387,5178648,46071,3.2,1876.0,5013111,8697,835,216658,231,14472
2021-05-23,52377678,5186487,46268,3.2,1843.0,5024313,7839,710,210291,197,11202
2021-05-24,52594333,5194010,46446,3.1,1745.0,5034316,7523,702,216655,178,10003
2021-05-25,52817437,5203385,46621,3.1,1666.0,5045508,9375,693,223104,175,11192
2021-05-26,53038651,5212123,46787,3.1,1561.0,5057713,8738,681,221214,166,12205
2021-05-27,53258116,5220549,46970,3.1,1504.0,5070815,8426,673,219465,183,13102
2021-05-28,53478278,5228322,47134,3.1,1454.0,5083099,7773,656,220162,164,12284
2021-05-29,53700891,5235978,47271,3.1,1391.0,5094279,7656,605,222613,137,11180
2021-05-30,53919848,5242911,47405,3.1,1390.0,5105042,6933,582,218957,134,10763
2021-05-31,54139309,5249404,47527,2.8,1339.0,5114624,6493,596,219461,122,9582
2021-06-01,54362791,5256516,47656,2.8,1241.0,5124081,7112,602,223482,129,9457
2021-06-02,54586941,5263697,47768,2.8,1213.0,5131453,7181,586,224150,112,7372
2021-06-03,54809788,5270299,47882,2.8,1219.0,5139993,6602,563,222847,114,8540
2021-06-04,55034469,5276468,47976,2.8,1183.0,5147610,6169,552,224681,94,7617
2021-06-05,55250625,5282594,48068,2.8,1147.0,5154771,6126,542,216156,92,7161
2021-06-06,55455452,5287980,48164,2.8,1096.0,5160774,5386,482,204827,96,6003
2021-06-07,55673616,5293627,48255,2.7,1060.0,5167350,5647,495,218164,91,6576
2021-06-08,55899143,5300236,48341,2.7,1044.0,5173186,6609,557,225527,86,5836
2021-06-09,56123336,5306690,48428,2.7,1018.0,5179833,6454,558,224193,87,6647
2021-06-10,56346656,5313098,48524,2.7,1009.0,5186728,6408,563,223320,96,6895
2021-06-11,56570784,5319359,48593,2.7,997.0,5192945,6261,561,224128,69,6217
2021-06-12,56789542,5325435,48668,2.7,973.0,5198057,6076,503,218758,75,5112
2021-06-13,57004499,5330447,48721,2.7,952.0,5202251,5012,454,214957,53,4194
2021-06-14,57223789,5336073,48795,3.4,929.0,5206836,5626,428,219290,74,4585
2021-06-15,57447635,5342028,48879,3.4,886.0,5211022,5955,532,223846,84,4186
2021-06-16,57674798,5348249,48950,3.4,881.0,5215654,6221,548,227163,71,4632
2021-06-17,57899862,5354153,49012,3.4,860.0,5219797,5904,509,225064,62,4143
2021-06-18,58123990,5359728,49071,3.4,856.0,5224224,5575,497,224128,59,4427
2021-06-19,58339486,5365208,49122,3.4,829.0,5228419,5480,494,215496,51,4195
2021-06-20,58552783,5370299,49185,3.4,813.0,5232638,5091,409,213297,63,4219
2021-06-21,58773835,5375593,49236,2.9,808.0,5237731,5294,429,221052,51,5093
2021-06-22,58997073,5381736,49293,2.9,791.0,5242945,6143,565,223238,57,5214
2021-06-23,59221265,5387545,49358,2.9,763.0,5248862,5809,550,224192,65,5917
2021-06-24,59444650,5393248,49417,2.9,752.0,5254708,5703,498,223385,59,5846
2021-06-25,59667586,5398878,49473,2.9,737.0,5261892,5630,477,222936,56,7184
2021-06-26,59890147,5404144,49524,2.9,733.0,5269294,5266,470,222561,51,7402
2021-06-27,60105441,5409027,49576,2.9,736.0,5275231,4883,390,215294,52,5937
2021-06-28,60328966,5414310,49634,2.9,751.0,5280558,5283,431,223525,58,5327
2021-06-29,60558812,5420156,49687,3.7,730.0,5287094,5846,510,229846,53,6536
2021-06-30,60786975,5425652,49732,3.7,727.0,5294285,5496,522,228163,45,7191
2021-07-01,61012512,5430940,49774,3.7,706.0,5300504,5288,462,225537,42,6219
2021-07-02,61236294,5435831,49829,3.7,697.0,5305856,4891,461,223782,55,5352
2021-07-03,61455218,5440368,49874,3.7,702.0,5310769,4537,478,218924,45,4913
2021-07-04,,,,,,,4418,404,216252,50,4161
2021-07-05,,,,,,,4678,,219737,35,4735